Book ID,Title,Date,Most Common Words
84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (4629)","Oct 1, 1993","[('one', 199), ('could', 197), ('would', 183), ('yet', 149), ('man', 129), ('upon', 128), ('may', 113), ('life', 112), ('first', 108), ('might', 108)]"
1342,Pride and Prejudice by Jane Austen (2327),"Jun 1, 1998","[('mr', 790), ('elizabeth', 598), ('could', 528), ('would', 478), ('said', 405), ('darcy', 356), ('mrs', 348), ('much', 328), ('must', 320), ('miss', 304)]"
1513,Romeo and Juliet by William Shakespeare (1867),"Nov 1, 1998","[('romeo', 300), ('thou', 277), ('juliet', 180), ('thy', 170), ('capulet', 141), ('nurse', 140), ('love', 136), ('thee', 135), ('shall', 112), ('lady', 109)]"
25344,The Scarlet Letter by Nathaniel Hawthorne (1792),"May 5, 2008","[('hester', 343), ('would', 278), ('little', 234), ('one', 230), ('old', 213), ('thou', 206), ('pearl', 189), ('might', 183), ('could', 182), ('upon', 177)]"
2542,A Doll's House : a play by Henrik Ibsen (1415),"Mar 1, 2001","[('nora', 677), ('helmer', 311), ('mrs', 241), ('linde', 221), ('krogstad', 155), ('yes', 155), ('rank', 140), ('must', 117), ('torvald', 113), ('know', 95)]"
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens (1282),"Aug 11, 2004","[('scrooge', 314), ('said', 221), ('upon', 120), ('one', 109), ('ghost', 93), ('christmas', 91), ('project', 88), ('would', 84), ('spirit', 84), ('old', 69)]"
345,Dracula by Bram Stoker (1246),"Oct 1, 1995","[('said', 569), ('could', 492), ('one', 484), ('us', 452), ('must', 444), ('would', 423), ('shall', 423), ('may', 397), ('see', 381), ('know', 378)]"
64317,The Great Gatsby by F. Scott  Fitzgerald (1182),"Jan 17, 2021","[('said', 233), ('âi', 177), ('gatsby', 176), ('tom', 164), ('daisy', 137), ('one', 136), ('like', 116), ('came', 108), ('back', 105), ('little', 102)]"
11,Alice's Adventures in Wonderland by Lewis Carroll (1150),"Jun 27, 2008","[('said', 456), ('alice', 383), ('âi', 127), ('little', 125), ('one', 89), ('project', 88), ('went', 83), ('like', 78), ('could', 75), ('thought', 74)]"
2701,"Moby Dick; Or, The Whale by Herman Melville (1099)","Jul 1, 2001","[('whale', 917), ('one', 884), ('like', 571), ('upon', 564), ('old', 441), ('would', 427), ('man', 413), ('ahab', 404), ('ye', 395), ('ship', 372)]"
174,The Picture of Dorian Gray by Oscar Wilde (1074),"Oct 1, 1994","[('one', 368), ('dorian', 352), ('would', 303), ('âi', 289), ('said', 260), ('lord', 245), ('donât', 232), ('henry', 217), ('life', 213), ('like', 207)]"
43,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson (1040),"Jun 27, 2008","[('said', 129), ('mr', 122), ('utterson', 116), ('hyde', 90), ('project', 88), ('one', 76), ('âi', 76), ('man', 74), ('jekyll', 73), ('lawyer', 67)]"
844,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde (1010),"Mar 1, 1997","[('jack', 285), ('algernon', 268), ('cecily', 254), ('gwendolen', 176), ('lady', 139), ('miss', 135), ('bracknell', 125), ('one', 114), ('project', 88), ('mr', 86)]"
1080,A Modest Proposal by Jonathan Swift (1004),"Oct 1, 1997","[('project', 89), ('gutenbergtm', 56), ('work', 51), ('works', 32), ('gutenberg', 31), ('electronic', 27), ('may', 26), ('terms', 22), ('foundation', 22), ('states', 20)]"
5200,Metamorphosis by Franz Kafka (882),"Aug 17, 2005","[('gregor', 188), ('would', 185), ('room', 129), ('could', 119), ('gregorâs', 99), ('sister', 96), ('father', 95), ('project', 90), ('door', 85), ('back', 82)]"
1952,The Yellow Wallpaper by Charlotte Perkins Gilman (851),"Nov 1, 1999","[('project', 88), ('gutenbergtm', 56), ('work', 48), ('john', 42), ('one', 33), ('works', 32), ('gutenberg', 31), ('said', 29), ('donât', 28), ('would', 27)]"
98,A Tale of Two Cities by Charles Dickens (830),"Jan 1, 1994","[('said', 659), ('mr', 606), ('one', 418), ('âi', 409), ('would', 335), ('lorry', 322), ('upon', 288), ('could', 281), ('defarge', 268), ('man', 264)]"
72112,Dora by Johanna Spyri (808),"Nov 13, 2023","[('dora', 274), ('little', 165), ('aunt', 125), ('said', 121), ('lili', 121), ('could', 111), ('rolf', 109), ('time', 94), ('jul', 91), ('would', 91)]"
1400,Great Expectations by Charles Dickens (768),"Jul 1, 1998","[('said', 1337), ('mr', 686), ('joe', 618), ('would', 589), ('one', 474), ('could', 471), ('âi', 431), ('little', 366), ('upon', 364), ('miss', 356)]"
6130,The Iliad by Homer (705),"Jul 1, 2004","[('thy', 933), ('thus', 613), ('shall', 504), ('great', 467), ('arms', 439), ('oâer', 364), ('hector', 361), ('one', 343), ('jove', 343), ('thou', 342)]"
1260,Jane Eyre: An Autobiography by Charlotte Brontë (698),"Mar 1, 1998","[('would', 651), ('said', 556), ('one', 553), ('mr', 506), ('could', 500), ('âi', 435), ('like', 349), ('little', 332), ('must', 309), ('rochester', 294)]"
76,Adventures of Huckleberry Finn by Mark Twain (677),"Jun 29, 2004","[('says', 638), ('got', 609), ('said', 475), ('see', 471), ('would', 395), ('come', 379), ('one', 365), ('didnât', 334), ('get', 330), ('jim', 305)]"
23,"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass (659)","Jan 12, 2006","[('would', 181), ('one', 179), ('mr', 171), ('slave', 137), ('slaves', 121), ('time', 120), ('upon', 120), ('master', 120), ('could', 97), ('work', 96)]"
72109,A. L. O. E.'s picture story book. by A. L. O. E. (653),"Nov 13, 2023","[('little', 112), ('one', 97), ('child', 70), ('could', 70), ('said', 57), ('mother', 55), ('poor', 53), ('never', 49), ('would', 49), ('lord', 43)]"
2814,Dubliners by James Joyce (617),"Sep 1, 2001","[('said', 755), ('mr', 565), ('would', 222), ('man', 208), ('little', 207), ('one', 205), ('old', 146), ('could', 133), ('gabriel', 133), ('like', 128)]"
408,The Souls of Black Folk by W. E. B.  Du Bois (604),"Jan 1, 1996","[('black', 278), ('negro', 266), ('one', 212), ('men', 199), ('world', 157), ('south', 156), ('life', 155), ('work', 152), ('little', 150), ('white', 148)]"
1661,The Adventures of Sherlock Holmes by Arthur Conan Doyle (597),"Mar 1, 1999","[('said', 484), ('upon', 465), ('holmes', 413), ('âi', 369), ('one', 344), ('would', 324), ('could', 286), ('man', 280), ('little', 267), ('mr', 262)]"
1232,The Prince by Niccolò Machiavelli (571),"Feb 11, 2006","[('one', 296), ('prince', 202), ('would', 165), ('men', 162), ('castruccio', 137), ('people', 114), ('may', 110), ('many', 103), ('others', 96), ('ought', 95)]"
28054,The Brothers Karamazov by Fyodor Dostoyevsky (565),"Feb 12, 2009","[('one', 1486), ('alyosha', 1133), ('would', 1084), ('said', 987), ('though', 811), ('know', 810), ('man', 802), ('mitya', 786), ('come', 709), ('donât', 708)]"
205,"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau (545)","Jan 1, 1995","[('one', 499), ('would', 337), ('man', 312), ('like', 296), ('may', 232), ('men', 226), ('life', 197), ('pond', 194), ('never', 188), ('house', 183)]"
2554,Crime and Punishment by Fyodor Dostoyevsky (535),"Mar 28, 2006","[('raskolnikov', 714), ('one', 588), ('would', 569), ('said', 516), ('know', 500), ('could', 488), ('like', 443), ('come', 432), ('though', 431), ('man', 431)]"
219,Heart of Darkness by Joseph Conrad (514),"Jan 9, 2006","[('would', 131), ('said', 129), ('one', 128), ('like', 113), ('could', 110), ('man', 98), ('see', 91), ('project', 88), ('âi', 87), ('kurtz', 82)]"
2591,Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm (510),"Apr 1, 2001","[('said', 1160), ('came', 461), ('went', 445), ('little', 393), ('one', 385), ('âi', 287), ('away', 280), ('king', 266), ('could', 260), ('would', 259)]"
1184,The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet (443),"Jan 1, 1998","[('said', 3459), ('âi', 1520), ('one', 1364), ('man', 1234), ('count', 1220), ('would', 1197), ('monte', 1132), ('cristo', 1047), ('de', 1033), ('villefort', 924)]"
4300,Ulysses by James Joyce (443),"Jul 1, 2003","[('said', 1207), ('bloom', 891), ('like', 728), ('mr', 705), ('one', 696), ('old', 486), ('stephen', 483), ('says', 473), ('see', 428), ('man', 407)]"
41,The Legend of Sleepy Hollow by Washington Irving (423),"Jun 27, 2008","[('project', 88), ('gutenbergtm', 56), ('one', 46), ('ichabod', 45), ('work', 45), ('upon', 36), ('old', 34), ('works', 33), ('country', 32), ('gutenberg', 31)]"
72106,"Married or single?, Vol. I (of 3) by B. M.  Croker (419)","Nov 12, 2023","[('madeline', 161), ('would', 142), ('miss', 130), ('mrs', 126), ('one', 118), ('mr', 110), ('little', 74), ('west', 72), ('wynne', 71), ('âi', 69)]"
8800,The divine comedy by Dante Alighieri (418),"Sep 1, 2005","[('thou', 871), ('thy', 500), ('one', 474), ('thus', 464), ('thee', 398), ('yet', 271), ('us', 265), ('may', 229), ('hath', 220), ('first', 204)]"
72103,"Travels into North America, Volume 2 (of 3) by Johann Reinhold Forster and Pehr Kalm (410)","Nov 12, 2023","[('w', 494), ('1', 438), ('n', 346), ('fair', 308), ('2', 300), ('great', 232), ('one', 216), ('trees', 215), ('3', 205), ('e', 204)]"
55,The Wonderful Wizard of Oz by L. Frank  Baum (406),"Feb 1, 1993","[('dorothy', 340), ('said', 331), ('scarecrow', 215), ('woodman', 175), ('lion', 169), ('oz', 146), ('âi', 143), ('great', 142), ('tin', 139), ('little', 139)]"
72111,Dick's retriever by E. M. Stooke (405),"Nov 13, 2023","[('dick', 111), ('mother', 61), ('little', 41), ('one', 38), ('said', 35), ('wilkins', 34), ('would', 32), ('dog', 31), ('boy', 27), ('mrs', 24)]"
768,Wuthering Heights by Emily Brontë (398),"Dec 1, 1996","[('would', 438), ('heathcliff', 372), ('said', 367), ('linton', 308), ('catherine', 301), ('mr', 284), ('could', 273), ('one', 270), ('âi', 217), ('must', 185)]"
1727,The Odyssey by Homer (394),"Apr 1, 1999","[('ulysses', 582), ('one', 552), ('said', 482), ('house', 396), ('would', 381), ('men', 313), ('man', 311), ('us', 305), ('went', 300), ('come', 281)]"
