ID,Title,Author,Publication Date,Language,LoC Class,Subjects,Link
84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (2310)","Shelley, Mary Wollstonecraft, 1797-1851","Oct 1, 1993",English,PR: Language and Literatures: English literature,"Science fiction, Horror tales, Gothic fiction, Scientists -- Fiction, Monsters -- Fiction, Frankenstein, Victor (Fictitious character) -- Fiction, Frankenstein's monster (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/84
2701,"Moby Dick; Or, The Whale by Herman Melville (2175)","Melville, Herman, 1819-1891","Jul 1, 2001",English,PS: Language and Literatures: American and Canadian literature,"Whaling -- Fiction, Sea stories, Psychological fiction, Ship captains -- Fiction, Adventure stories, Mentally ill -- Fiction, Ahab, Captain (Fictitious character) -- Fiction, Whales -- Fiction, Whaling ships -- Fiction",https://www.gutenberg.org/ebooks/2701
1342,Pride and Prejudice by Jane Austen (1966),"Austen, Jane, 1775-1817","Jun 1, 1998",English,PR: Language and Literatures: English literature,"England -- Fiction, Young women -- Fiction, Love stories, Sisters -- Fiction, Domestic fiction, Courtship -- Fiction, Social classes -- Fiction",https://www.gutenberg.org/ebooks/1342
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens (1914),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/46
145,Middlemarch by George Eliot (1816),"Eliot, George, 1819-1880","Jul 1, 1994",English,PR: Language and Literatures: English literature,"Didactic fiction, City and town life -- Fiction, England -- Fiction, Young women -- Fiction, Love stories, Domestic fiction, Married people -- Fiction, Bildungsromans",https://www.gutenberg.org/ebooks/145
2641,A Room with a View by E. M.  Forster (1727),"Forster, E. M. (Edward Morgan), 1879-1970","May 1, 2001",English,PR: Language and Literatures: English literature,"Humorous stories, England -- Fiction, Young women -- Fiction, British -- Italy -- Fiction, Florence (Italy) -- Fiction",https://www.gutenberg.org/ebooks/2641
1513,Romeo and Juliet by William Shakespeare (1727),"Shakespeare, William, 1564-1616","Nov 1, 1998",English,PR: Language and Literatures: English literature,"Vendetta -- Drama, Youth -- Drama, Verona (Italy) -- Drama, Juliet (Fictitious character) -- Drama, Romeo (Fictitious character) -- Drama, Conflict of generations -- Drama, Tragedies",https://www.gutenberg.org/ebooks/1513
37106,"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott (1605)","Alcott, Louisa May, 1832-1888","Aug 16, 2011",English,PZ: Language and Literatures: Juvenile belles lettres,"Autobiographical fiction, Young women -- Fiction, Sisters -- Fiction, Domestic fiction, Family life -- New England -- Fiction, New England -- Fiction, Bildungsromans, Mothers and daughters -- Fiction, March family (Fictitious characters) -- Fiction",https://www.gutenberg.org/ebooks/37106
100,The Complete Works of William Shakespeare by William Shakespeare (1589),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/100
16389,The Enchanted April by Elizabeth Von Arnim (1527),"Von Arnim, Elizabeth, 1866-1941","Jul 29, 2005",English,PR: Language and Literatures: English literature,"Love stories, Domestic fiction, Italy -- Fiction, Female friendship -- Fiction, British -- Italy -- Fiction",https://www.gutenberg.org/ebooks/16389
67979,The Blue Castle: a novel by L. M.  Montgomery (1526),"Montgomery, L. M. (Lucy Maud), 1874-1942","May 3, 2022",English,PZ: Language and Literatures: Juvenile belles lettres,"Self-actualization (Psychology) -- Fiction, Single women -- Fiction, Choice -- Fiction, Canada -- History -- 1914-1945 -- Fiction, Romance fiction, Love -- Fiction, Young adult fiction",https://www.gutenberg.org/ebooks/67979
394,Cranford by Elizabeth Cleghorn Gaskell (1451),"Gaskell, Elizabeth Cleghorn, 1810-1865","Jan 1, 1996",English,PR: Language and Literatures: English literature,"England -- Fiction, Sisters -- Fiction, Pastoral fiction, Villages -- Fiction, Older women -- Fiction, Female friendship -- Fiction",https://www.gutenberg.org/ebooks/394
6761,The Adventures of Ferdinand Count Fathom — Complete by T.  Smollett (1439),"Smollett, T. (Tobias), 1721-1771","Sep 9, 2004",English,PR: Language and Literatures: English literature,"Gothic fiction, Adventure stories",https://www.gutenberg.org/ebooks/6761
2160,The Expedition of Humphry Clinker by T.  Smollett (1405),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/2160
4085,The Adventures of Roderick Random by T.  Smollett (1396),"Smollett, T. (Tobias), 1721-1771","May 1, 2003",English,PR: Language and Literatures: English literature,"Sea stories, England -- Fiction, Picaresque literature, Rogues and vagabonds -- Fiction, Sailors -- Fiction, Warships -- Fiction, Scots -- England -- Fiction, Impressment -- Fiction",https://www.gutenberg.org/ebooks/4085
6593,"History of Tom Jones, a Foundling by Henry Fielding (1374)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/6593
1259,Twenty years after by Alexandre Dumas and Auguste Maquet (1329),"Dumas, Alexandre, 1802-1870","Mar 1, 1998",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","France -- History -- Louis XIV, 1643-1715 -- Fiction",https://www.gutenberg.org/ebooks/1259
5197,My Life — Volume 1 by Richard Wagner (1323),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/5197
11,Alice's Adventures in Wonderland by Lewis Carroll (1016),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/11
25344,The Scarlet Letter by Nathaniel Hawthorne (945),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/25344
72297,Cobra by Martin Brown and Russell Holman (774),"Brown, Martin","Dec 3, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72297
2542,A Doll's House : a play by Henrik Ibsen (761),"Ibsen, Henrik, 1828-1906","Mar 1, 2001",English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures","Marriage -- Drama, Man-woman relationships -- Drama, Norwegian drama -- Translations into English, Wives -- Drama",https://www.gutenberg.org/ebooks/2542
174,The Picture of Dorian Gray by Oscar Wilde (729),"Wilde, Oscar, 1854-1900","Oct 1, 1994",English,PR: Language and Literatures: English literature,"Didactic fiction, Supernatural -- Fiction, Conduct of life -- Fiction, Portraits -- Fiction, Great Britain -- History -- Victoria, 1837-1901 -- Fiction, London (England) -- History -- 1800-1950 -- Fiction, Appearance (Philosophy) -- Fiction, Paranormal fiction",https://www.gutenberg.org/ebooks/174
844,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde (684),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/844
345,Dracula by Bram Stoker (683),"Stoker, Bram, 1847-1912","Oct 1, 1995",English,PR: Language and Literatures: English literature,"Horror tales, Epistolary fiction, Gothic fiction, Vampires -- Fiction, Dracula, Count (Fictitious character) -- Fiction, Transylvania (Romania) -- Fiction, Whitby (England) -- Fiction",https://www.gutenberg.org/ebooks/345
33283,Calculus Made Easy by Silvanus P.  Thompson (674),"Thompson, Silvanus P. (Silvanus Phillips), 1851-1916","Jul 28, 2010",English,QA: Science: Mathematics,Calculus,https://www.gutenberg.org/ebooks/33283
64317,The Great Gatsby by F. Scott  Fitzgerald (646),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/64317
5200,Metamorphosis by Franz Kafka (638),"Kafka, Franz, 1883-1924","Aug 17, 2005",English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures","Psychological fiction, Metamorphosis -- Fiction",https://www.gutenberg.org/ebooks/5200
98,A Tale of Two Cities by Charles Dickens (611),"Dickens, Charles, 1812-1870","Jan 1, 1994",English,PR: Language and Literatures: English literature,"Historical fiction, France -- History -- Revolution, 1789-1799 -- Fiction, London (England) -- History -- 18th century -- Fiction, War stories, Executions and executioners -- Fiction, French -- England -- London -- Fiction, Lookalikes -- Fiction, British -- France -- Paris -- Fiction, Paris (France) -- History -- 1789-1799 -- Fiction",https://www.gutenberg.org/ebooks/98
