ID,Title,Author,Publication,Language,Link
84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (4629)",28 by Mary Wollstonecraft Shelley,"Oct 1, 1993",Unknown,https://www.gutenberg.org/ebooks/84
1342,Pride and Prejudice by Jane Austen (2327),32 by Jane Austen,"Jun 1, 1998",Unknown,https://www.gutenberg.org/ebooks/1342
1513,Romeo and Juliet by William Shakespeare (1867),335 by William Shakespeare,"Nov 1, 1998",Unknown,https://www.gutenberg.org/ebooks/1513
25344,The Scarlet Letter by Nathaniel Hawthorne (1792),110 by Nathaniel Hawthorne,"May 5, 2008",Unknown,https://www.gutenberg.org/ebooks/25344
2542,A Doll's House : a play by Henrik Ibsen (1415),63 by Henrik Ibsen,"Mar 1, 2001",Unknown,https://www.gutenberg.org/ebooks/2542
33283,Calculus Made Easy by Silvanus P.  Thompson (1411),7 by Silvanus P. Thompson,"Jul 28, 2010",Unknown,https://www.gutenberg.org/ebooks/33283
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens (1282),202 by Charles Dickens,"Aug 11, 2004",Unknown,https://www.gutenberg.org/ebooks/46
345,Dracula by Bram Stoker (1246),16 by Bram Stoker,"Oct 1, 1995",Unknown,https://www.gutenberg.org/ebooks/345
64317,The Great Gatsby by F. Scott  Fitzgerald (1182),8 by F. Scott Fitzgerald,"Jan 17, 2021",Unknown,https://www.gutenberg.org/ebooks/64317
11,Alice's Adventures in Wonderland by Lewis Carroll (1150),35 by Lewis Carroll,"Jun 27, 2008",Unknown,https://www.gutenberg.org/ebooks/11
2701,"Moby Dick; Or, The Whale by Herman Melville (1099)",27 by Herman Melville,"Jul 1, 2001",Unknown,https://www.gutenberg.org/ebooks/2701
174,The Picture of Dorian Gray by Oscar Wilde (1074),69 by Oscar Wilde,"Oct 1, 1994",Unknown,https://www.gutenberg.org/ebooks/174
43,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson (1040),123 by Robert Louis Stevenson,"Jun 27, 2008",Unknown,https://www.gutenberg.org/ebooks/43
844,The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde (1010),69 by Oscar Wilde,"Mar 1, 1997",Unknown,https://www.gutenberg.org/ebooks/844
