Book ID,Title_x,Author,Publication Date,Language,LoC Class,Subjects,Link,Title_y,Date,Most Common Words
84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (2310)","Shelley, Mary Wollstonecraft, 1797-1851","Oct 1, 1993",English,PR: Language and Literatures: English literature,"Science fiction, Horror tales, Gothic fiction, Scientists -- Fiction, Monsters -- Fiction, Frankenstein, Victor (Fictitious character) -- Fiction, Frankenstein's monster (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (2310)","Oct 1, 1993","[('one', 199), ('could', 197), ('would', 183), ('yet', 149), ('man', 129), ('upon', 128), ('may', 113), ('life', 112), ('first', 108), ('might', 108), ('father', 108), ('every', 106), ('shall', 105), ('eyes', 104), ('said', 102), ('time', 97), ('even', 96), ('towards', 94), ('saw', 94), ('found', 89), ('project', 88), ('mind', 85), ('night', 84), ('elizabeth', 81), ('day', 80), ('felt', 79), ('ever', 78), ('work', 78), ('heart', 76), ('feelings', 76)]"
2701,"Moby Dick; Or, The Whale by Herman Melville (2175)","Melville, Herman, 1819-1891","Jul 1, 2001",English,PS: Language and Literatures: American and Canadian literature,"Whaling -- Fiction, Sea stories, Psychological fiction, Ship captains -- Fiction, Adventure stories, Mentally ill -- Fiction, Ahab, Captain (Fictitious character) -- Fiction, Whales -- Fiction, Whaling ships -- Fiction",https://www.gutenberg.org/ebooks/2701,"Moby Dick; Or, The Whale by Herman Melville (2175)","Jul 1, 2001","[('whale', 917), ('one', 884), ('like', 571), ('upon', 564), ('old', 441), ('would', 427), ('man', 413), ('ahab', 404), ('ye', 395), ('ship', 372), ('sea', 367), ('though', 360), ('yet', 335), ('time', 319), ('long', 310), ('chapter', 308), ('still', 307), ('great', 304), ('said', 294), ('must', 291), ('seemed', 281), ('captain', 280), ('two', 279), ('last', 272), ('whales', 263), ('head', 263), ('see', 253), ('way', 248), ('white', 248), ('little', 248)]"
1342,Pride and Prejudice by Jane Austen (1966),"Austen, Jane, 1775-1817","Jun 1, 1998",English,PR: Language and Literatures: English literature,"England -- Fiction, Young women -- Fiction, Love stories, Sisters -- Fiction, Domestic fiction, Courtship -- Fiction, Social classes -- Fiction",https://www.gutenberg.org/ebooks/1342,Pride and Prejudice by Jane Austen (1966),"Jun 1, 1998","[('mr', 790), ('elizabeth', 598), ('could', 528), ('would', 478), ('said', 405), ('darcy', 356), ('mrs', 348), ('much', 328), ('must', 320), ('miss', 304), ('âi', 300), ('bennet', 290), ('one', 274), ('jane', 263), ('bingley', 246), ('know', 235), ('though', 228), ('never', 227), ('think', 216), ('soon', 213), ('may', 210), ('might', 203), ('time', 198), ('little', 187), ('well', 186), ('every', 185), ('without', 181), ('nothing', 180), ('lady', 179), ('make', 172)]"
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens (1914),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/46,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens (1914),Unknown,"[('scrooge', 314), ('said', 221), ('upon', 120), ('one', 109), ('ghost', 93), ('christmas', 91), ('project', 88), ('would', 84), ('spirit', 84), ('old', 69), ('man', 68), ('time', 65), ('little', 63), ('good', 63), ('know', 61), ('could', 61), ('like', 59), ('work', 56), ('gutenbergtm', 56), ('cried', 52), ('see', 50), ('bob', 49), ('scrooges', 48), ('came', 45), ('went', 44), ('hand', 43), ('made', 43), ('dont', 42), ('door', 41), ('might', 40)]"
145,Middlemarch by George Eliot (1816),"Eliot, George, 1819-1880","Jul 1, 1994",English,PR: Language and Literatures: English literature,"Didactic fiction, City and town life -- Fiction, England -- Fiction, Young women -- Fiction, Love stories, Domestic fiction, Married people -- Fiction, Bildungsromans",https://www.gutenberg.org/ebooks/145,Middlemarch by George Eliot (1816),"Jul 1, 1994","[('said', 2222), ('mr', 1928), ('would', 1512), ('âi', 918), ('could', 836), ('lydgate', 835), ('dorothea', 784), ('one', 781), ('mrs', 689), ('might', 645), ('like', 644), ('little', 614), ('man', 601), ('know', 578), ('must', 572), ('never', 534), ('much', 521), ('think', 520), ('good', 511), ('made', 504), ('casaubon', 492), ('say', 484), ('see', 478), ('bulstrode', 466), ('rosamond', 460), ('fred', 457), ('go', 422), ('thought', 403), ('come', 403), ('make', 400)]"
2641,A Room with a View by E. M.  Forster (1727),"Forster, E. M. (Edward Morgan), 1879-1970","May 1, 2001",English,PR: Language and Literatures: English literature,"Humorous stories, England -- Fiction, Young women -- Fiction, British -- Italy -- Fiction, Florence (Italy) -- Fiction",https://www.gutenberg.org/ebooks/2641,A Room with a View by E. M.  Forster (1727),"May 1, 2001","[('said', 427), ('miss', 407), ('lucy', 397), ('mr', 379), ('âi', 308), ('would', 266), ('one', 226), ('cecil', 209), ('bartlett', 184), ('beebe', 181), ('must', 145), ('honeychurch', 138), ('go', 136), ('like', 132), ('could', 132), ('never', 128), ('know', 128), ('george', 124), ('little', 119), ('people', 113), ('donât', 113), ('freddy', 112), ('see', 109), ('mrs', 108), ('man', 107), ('say', 103), ('emerson', 101), ('âoh', 100), ('much', 95), ('mother', 92)]"
1513,Romeo and Juliet by William Shakespeare (1727),"Shakespeare, William, 1564-1616","Nov 1, 1998",English,PR: Language and Literatures: English literature,"Vendetta -- Drama, Youth -- Drama, Verona (Italy) -- Drama, Juliet (Fictitious character) -- Drama, Romeo (Fictitious character) -- Drama, Conflict of generations -- Drama, Tragedies",https://www.gutenberg.org/ebooks/1513,Romeo and Juliet by William Shakespeare (1727),"Nov 1, 1998","[('romeo', 300), ('thou', 277), ('juliet', 180), ('thy', 170), ('capulet', 141), ('nurse', 140), ('love', 136), ('thee', 135), ('shall', 112), ('lady', 109), ('friar', 103), ('come', 95), ('project', 84), ('mercutio', 83), ('good', 80), ('benvolio', 77), ('enter', 75), ('go', 75), ('iâll', 71), ('tybalt', 69), ('death', 69), ('night', 68), ('lawrence', 66), ('man', 65), ('hath', 64), ('may', 63), ('gutenbergâ', 61), ('one', 60), ('well', 58), ('paris', 57)]"
37106,"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott (1605)","Alcott, Louisa May, 1832-1888","Aug 16, 2011",English,PZ: Language and Literatures: Juvenile belles lettres,"Autobiographical fiction, Young women -- Fiction, Sisters -- Fiction, Domestic fiction, Family life -- New England -- Fiction, New England -- Fiction, Bildungsromans, Mothers and daughters -- Fiction, March family (Fictitious characters) -- Fiction",https://www.gutenberg.org/ebooks/37106,,,
100,The Complete Works of William Shakespeare by William Shakespeare (1589),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/100,The Complete Works of William Shakespeare by William Shakespeare (1589),Unknown,"[('thou', 5831), ('thy', 4348), ('shall', 3835), ('thee', 3395), ('lord', 3082), ('king', 2993), ('sir', 2950), ('good', 2941), ('come', 2611), ('would', 2474), ('enter', 2406), ('well', 2270), ('love', 2267), ('let', 2213), ('hath', 2056), ('one', 1943), ('like', 1936), ('man', 1899), ('iâll', 1885), ('upon', 1863), ('may', 1804), ('make', 1787), ('go', 1782), ('know', 1749), ('us', 1747), ('say', 1738), ('yet', 1729), ('must', 1647), ('scene', 1631), ('see', 1548)]"
16389,The Enchanted April by Elizabeth Von Arnim (1527),"Von Arnim, Elizabeth, 1866-1941","Jul 29, 2005",English,PR: Language and Literatures: English literature,"Love stories, Domestic fiction, Italy -- Fiction, Female friendship -- Fiction, British -- Italy -- Fiction",https://www.gutenberg.org/ebooks/16389,The Enchanted April by Elizabeth Von Arnim (1527),"Jul 29, 2005","[('mrs', 957), ('said', 532), ('would', 517), ('wilkins', 449), ('one', 406), ('fisher', 368), ('could', 297), ('mr', 237), ('arbuthnot', 237), ('lady', 223), ('thought', 178), ('like', 175), ('caroline', 173), ('scrap', 165), ('much', 156), ('rose', 148), ('come', 134), ('even', 131), ('âi', 129), ('go', 126), ('see', 124), ('briggs', 124), ('lotty', 122), ('got', 121), ('time', 120), ('little', 120), ('quite', 119), ('away', 111), ('nothing', 110), ('seemed', 108)]"
